Transaction_ID,Date,Category,Amount_INR,Payment_Method,Merchant,Description,Day_of_Week,Weekend,Month
TXN00815,2025-10-04,Food,176.25,Debit Card,Street Food,Dinner,Saturday,Yes,2025-10
TXN00668,2026-04-17,Entertainment,73.57,UPI,Gaming,Game,Friday,No,2026-04
TXN00289,2025-12-08,Shopping,129.08,UPI,Local Store,Accessories,Monday,No,2025-12
TXN00382,2025-10-06,Food,192.85,UPI,Food Delivery,Coffee,Monday,No,2025-10
TXN00418,2026-03-15,Bills,261.26,Cash,Mobile Provider,Utility payment,Sunday,Yes,2026-03
TXN00148,2026-01-21,Shopping,356.97,Cash,Flipkart,Electronics,Wednesday,No,2026-01
TXN00859,2025-11-12,Subscriptions,149.43,Net Banking,Cloud Storage,Monthly subscription,Wednesday,No,2025-11
TXN00676,2025-09-14,Food,196.36,UPI,Food Delivery,Dinner,Sunday,Yes,2025-09
TXN01082,2026-04-19,Food,139.72,UPI,Street Food,Dinner,Sunday,Yes,2026-04
TXN00011,2026-07-28,Food,131.75,Credit Card,Street Food,Coffee,Tuesday,No,2026-07
TXN00857,2026-04-06,Food,174.08,Debit Card,Street Food,Coffee,Monday,No,2026-04
TXN00196,2025-12-22,Education,6320.03,UPI,Learning Platform,College expense,Monday,No,2025-12
TXN00116,2025-10-18,Shopping,492.67,UPI,Flipkart,Electronics,Saturday,Yes,2025-10
TXN00654,2025-12-26,Food,220.17,UPI,Cafe,Snacks,Friday,No,2025-12
TXN00427,2026-05-27,Shopping,260.14,Debit Card,Flipkart,Accessories,Wednesday,No,2026-05
TXN00915,2025-09-25,Subscriptions,92.04,Credit Card,Software,Music plan,Thursday,No,2025-09
TXN00527,2025-11-29,Travel,244.72,Debit Card,Flight,Hotel booking,Saturday,Yes,2025-11
TXN01064,2025-11-02,Food,150.66,UPI,,Lunch,Sunday,Yes,2025-11
TXN00888,2025-11-17,Subscriptions,182.66,UPI,Cloud Storage,Streaming plan,Monday,No,2025-11
